"DateTime","X","Y","Z"
"2022-12-07T13:00:33.270696Z","-0.08400001","0.84405005","9.633"
"2022-12-07T13:00:33.328998Z","-0.052950002","0.79605","9.70695"
"2022-12-07T13:00:33.389534Z","-0.028950002","0.86505","9.66705"
"2022-12-07T13:00:33.450263Z","-0.034050003","0.81705004","9.85305"
"2022-12-07T13:00:33.510799Z","-0.01905","0.83400005","9.73095"
"2022-12-07T13:00:33.570400Z","-0.064950004","0.84105","9.955951"
"2022-12-07T13:00:33.631251Z","-0.0049500004","0.82695","9.73095"
"2022-12-07T13:00:33.693166Z","-0.034050003","0.85095006","9.870001"
"2022-12-07T13:00:33.751271Z","0.006","0.81495005","9.769951"
"2022-12-07T13:00:33.811450Z","-0.01905","0.82500005","9.805051"
"2022-12-07T13:00:33.871518Z","-0.01905","0.83205","9.813001"
"2022-12-07T13:00:33.931670Z","-0.0049500004","0.81000006","9.745951"
"2022-12-07T13:00:33.993194Z","-0.043050002","0.83895004","9.825001"
"2022-12-07T13:00:34.053374Z","-0.01905","0.85305005","9.754951"
"2022-12-07T13:00:34.112969Z","-0.07395","0.85800004","9.90795"
"2022-12-07T13:00:34.173220Z","-0.012","0.82905006","9.738001"
"2022-12-07T13:00:34.233586Z","-0.07395","0.88905007","9.931951"
"2022-12-07T13:00:34.294058Z","-0.01695","0.83205","9.78195"
"2022-12-07T13:00:34.354255Z","-0.01695","0.80100006","9.849001"
"2022-12-07T13:00:34.414566Z","-0.04605","0.82005006","9.817051"
"2022-12-07T13:00:34.474948Z","-0.039","0.85095006","9.834001"
"2022-12-07T13:00:34.535029Z","-0.048","0.846","9.8890505"
"2022-12-07T13:00:34.595213Z","-0.024","0.82500005","9.78195"
"2022-12-07T13:00:34.655165Z","-0.00705","0.82695","9.805051"
"2022-12-07T13:00:34.716693Z","0.0010500001","0.82500005","9.777"
"2022-12-07T13:00:34.777463Z","-0.052950002","0.85305005","9.88395"
"2022-12-07T13:00:34.837135Z","-0.028950002","0.83895004","9.784051"
"2022-12-07T13:00:34.896997Z","-0.04095","0.837","9.79605"
"2022-12-07T13:00:34.956837Z","-0.027","0.83205","9.85095"
"2022-12-07T13:00:35.017114Z","-0.034050003","0.83895004","9.834001"
"2022-12-07T13:00:35.077613Z","-0.051000003","0.837","9.86295"
"2022-12-07T13:00:35.137466Z","-0.015000001","0.84405005","9.813001"
"2022-12-07T13:00:35.197595Z","-0.039","0.83205","9.793051"
"2022-12-07T13:00:35.258093Z","0.063","0.80505","9.772051"
"2022-12-07T13:00:35.317998Z","-0.043050002","0.846","9.8869505"
"2022-12-07T13:00:35.379195Z","-0.0049500004","0.81705004","9.868051"
"2022-12-07T13:00:35.439181Z","0.03195","0.82905006","9.837001"
"2022-12-07T13:00:35.499501Z","-0.031050002","0.822","9.916051"
"2022-12-07T13:00:35.559689Z","-0.02205","0.84105","9.790951"
"2022-12-07T13:00:35.619886Z","-0.024","0.81705004","9.955951"
