"DateTime","X","Y","Z"
"2022-12-05T04:32:01.237Z","0.001589216","-0.110595554","9.90854"
"2022-12-05T04:32:01.292Z","-4.599245E-4","-0.111189865","9.908626"
"2022-12-05T04:32:01.371Z","-7.6640974E-4","-0.1082415","9.912911"
"2022-12-05T04:32:01.429Z","0.002431776","-0.10771451","9.912918"
"2022-12-05T04:32:01.492Z","0.0014721509","-0.11126504","9.916939"
"2022-12-05T04:32:01.569Z","0.0020006325","-0.11084627","9.921663"
"2022-12-05T04:32:01.628Z","-7.3002005E-4","-0.10974896","9.926128"
"2022-12-05T04:32:01.690Z","0.0015807222","-0.11659799","9.930342"
"2022-12-05T04:32:01.769Z","0.0021704964","-0.10756918","9.932945"
"2022-12-05T04:32:01.828Z","0.0040303334","-0.10878799","9.938279"
"2022-12-05T04:32:01.893Z","0.0064627067","-0.10700387","9.934224"
"2022-12-05T04:32:01.972Z","-0.004783807","-0.111115456","9.948659"
"2022-12-05T04:32:02.026Z","6.0505373E-4","-0.10880115","9.9348135"
"2022-12-05T04:32:02.108Z","0.0038791327","-0.10945007","9.926647"
"2022-12-05T04:32:02.164Z","-0.0043307007","-0.10651058","9.922696"
"2022-12-05T04:32:02.227Z","-0.00338767","-0.10834951","9.91826"
"2022-12-05T04:32:02.306Z","7.9500984E-4","-0.1044681","9.899803"
"2022-12-05T04:32:02.367Z","-0.009941203","-0.106193095","9.89895"
"2022-12-05T04:32:02.423Z","0.0019379774","-0.11280489","9.892849"
"2022-12-05T04:32:02.504Z","-0.0012600584","-0.106908284","9.876802"
"2022-12-05T04:32:02.560Z","-0.010014397","-0.10984138","9.87506"
"2022-12-05T04:32:02.622Z","-0.0018550087","-0.10696673","9.870242"
"2022-12-05T04:32:02.702Z","-0.00526708","-0.10078451","9.857886"
"2022-12-05T04:32:02.759Z","-0.0035858538","-0.10674288","9.865139"
"2022-12-05T04:32:02.839Z","-0.009102623","-0.10466119","9.856235"
"2022-12-05T04:32:02.900Z","3.5457627E-4","-0.11669264","9.844378"
"2022-12-05T04:32:02.961Z","-0.012544941","-0.118832804","9.856665"
"2022-12-05T04:32:03.038Z","-0.0056552277","-0.103553236","9.835941"
"2022-12-05T04:32:03.097Z","-0.0057391287","-0.107385255","9.83672"
"2022-12-05T04:32:03.157Z","-0.009737744","-0.1041086","9.830416"
"2022-12-05T04:32:03.238Z","-0.0023033011","-0.112576164","9.8433485"
"2022-12-05T04:32:03.295Z","-0.0123670725","-0.10781876","9.832677"
"2022-12-05T04:32:03.357Z","-0.0048230807","-0.110901155","9.825791"
"2022-12-05T04:32:03.437Z","-0.012706754","-0.11417114","9.824338"
"2022-12-05T04:32:03.502Z","-0.0052850763","-0.105885215","9.822462"
"2022-12-05T04:32:03.577Z","-0.009592145","-0.11640939","9.820629"
"2022-12-05T04:32:03.638Z","-0.005572637","-0.10371977","9.82923"
"2022-12-05T04:32:03.697Z","3.184254E-5","-0.10306618","9.810326"
"2022-12-05T04:32:03.776Z","-0.009952518","-0.10284645","9.8156595"
"2022-12-05T04:32:03.832Z","-0.018593809","-0.11143836","9.8137045"
"2022-12-05T04:32:03.891Z","-0.008902355","-0.110897385","9.7953005"
"2022-12-05T04:32:03.968Z","-0.016799409","-0.113875955","9.829652"
"2022-12-05T04:32:04.031Z","0.004717099","-0.11108941","9.809247"
"2022-12-05T04:32:04.089Z","-0.007593781","-0.11217906","9.817333"
"2022-12-05T04:32:04.170Z","-0.011948135","-0.10766985","9.815267"
"2022-12-05T04:32:04.227Z","-0.0067676506","-0.11031786","9.809268"
"2022-12-05T04:32:04.286Z","-0.0032294001","-0.11019788","9.807892"
"2022-12-05T04:32:04.365Z","-0.008200885","-0.11174721","9.809245"
"2022-12-05T04:32:04.427Z","-0.011967778","-0.11095587","9.815469"
"2022-12-05T04:32:04.507Z","-0.015647592","-0.114575796","9.804215"
"2022-12-05T04:32:04.562Z","-0.010763097","-0.108153224","9.80448"
"2022-12-05T04:32:04.625Z","-0.009417155","-0.10849256","9.812703"
"2022-12-05T04:32:04.701Z","-0.009247182","-0.11007484","9.807143"
"2022-12-05T04:32:04.762Z","-0.009806373","-0.1078153","9.8030615"
"2022-12-05T04:32:04.820Z","-0.009360018","-0.11218973","9.80568"
"2022-12-05T04:32:04.899Z","-0.010255468","-0.11444262","9.810586"
"2022-12-05T04:32:04.962Z","-0.008089402","-0.11313433","9.812427"
"2022-12-05T04:32:05.021Z","-0.006325865","-0.109845795","9.805324"
"2022-12-05T04:32:05.102Z","-0.014766608","-0.11036813","9.807118"
"2022-12-05T04:32:05.158Z","-0.01043379","-0.104193516","9.8053465"
"2022-12-05T04:32:05.239Z","-0.008532609","-0.108283676","9.805139"
"2022-12-05T04:32:05.296Z","-0.009369483","-0.10907331","9.809245"
"2022-12-05T04:32:05.357Z","-0.011001669","-0.112865575","9.80564"
"2022-12-05T04:32:05.436Z","-0.009037477","-0.11084601","9.801154"
"2022-12-05T04:32:05.494Z","-0.007798334","-0.111657016","9.806563"
"2022-12-05T04:32:05.556Z","-0.011009745","-0.11315167","9.811676"
"2022-12-05T04:32:05.633Z","-0.011888571","-0.10367987","9.806308"
"2022-12-05T04:32:05.693Z","-0.0034861926","-0.108309366","9.807556"
"2022-12-05T04:32:05.753Z","-0.0064178375","-0.1113951","9.8080435"
"2022-12-05T04:32:05.836Z","-0.015708541","-0.1102162","9.809792"
"2022-12-05T04:32:05.894Z","-0.00900291","-0.10990936","9.810745"
"2022-12-05T04:32:05.975Z","-0.01246129","-0.113544375","9.81617"
"2022-12-05T04:32:06.032Z","-0.007158795","-0.109120615","9.812385"
"2022-12-05T04:32:06.093Z","-0.008372023","-0.10553261","9.809417"
"2022-12-05T04:32:06.172Z","-0.009575776","-0.102158755","9.80852"
"2022-12-05T04:32:06.230Z","-0.0064738826","-0.10609593","9.809995"
"2022-12-05T04:32:06.289Z","-0.009069091","-0.11169944","9.812461"
"2022-12-05T04:32:06.370Z","-0.011726267","-0.110233575","9.807748"
"2022-12-05T04:32:06.428Z","-0.010958295","-0.11139074","9.807954"
"2022-12-05T04:32:06.489Z","-0.011872689","-0.10785076","9.806233"
