"DateTime","X","Y","Z"
"2022-12-05T04:23:36.418978Z","1.1760724","-0.2213361","9.984651"
"2022-12-05T04:23:36.419120Z","1.2017952","-0.22552353","9.984651"
"2022-12-05T04:23:36.419159Z","1.1772687","-0.22372891","9.982258"
"2022-12-05T04:23:36.419190Z","1.21017","-0.21714866","9.990034"
"2022-12-05T04:23:36.419220Z","1.1784651","-0.22313072","10.007382"
"2022-12-05T04:23:36.510886Z","1.2053844","-0.22612174","9.98166"
"2022-12-05T04:23:36.511095Z","1.1988041","-0.22851457","10.0061865"
"2022-12-05T04:23:36.511157Z","1.1910275","-0.21894327","9.979865"
"2022-12-05T04:23:36.511245Z","1.1844472","-0.22253251","9.990034"
"2022-12-05T04:23:36.511294Z","1.1922239","-0.22313072","9.986445"
"2022-12-05T04:23:36.605673Z","1.180858","-0.22432712","9.970892"
"2022-12-05T04:23:36.605804Z","1.183849","-0.22671995","9.982258"
"2022-12-05T04:23:36.605847Z","1.1844472","-0.22432712","9.966704"
"2022-12-05T04:23:36.605880Z","1.1928221","-0.23030917","9.977472"
"2022-12-05T04:23:36.605557Z","1.1850454","-0.21415763","9.979865"
"2022-12-05T04:23:36.700205Z","1.1784651","-0.22911277","9.982856"
"2022-12-05T04:23:36.700356Z","1.1659029","-0.22313072","9.995419"
"2022-12-05T04:23:36.700387Z","1.1790633","-0.22013968","10.000204"
"2022-12-05T04:23:36.700417Z","1.2000005","-0.2213361","10.009775"
"2022-12-05T04:23:36.700450Z","1.1856437","-0.21296121","10.010972"
"2022-12-05T04:23:36.796152Z","1.1736795","-0.21595225","10.000802"
"2022-12-05T04:23:36.796237Z","1.1826526","-0.21655045","10.003794"
"2022-12-05T04:23:36.796395Z","1.1617154","-0.21535404","9.983455"
"2022-12-05T04:23:36.796442Z","1.18684","-0.22253251","9.994821"
"2022-12-05T04:23:36.796494Z","1.1509477","-0.21655045","9.991231"
"2022-12-05T04:23:36.815613Z","0.19501504","-0.26919255","10.00499"
"2022-12-05T04:23:36.831731Z","1.8125632","-0.20518455","9.972089"
"2022-12-05T04:23:36.850270Z","1.5762719","-0.19740787","10.004392"
"2022-12-05T04:23:36.868987Z","0.7812566","-0.26141587","10.006784"
"2022-12-05T04:23:36.888771Z","1.5756737","-0.19680966","9.966106"
"2022-12-05T04:23:36.908410Z","1.2095718","-0.22253251","9.966704"
"2022-12-05T04:23:36.926786Z","1.11685","-0.21774685","9.9960165"
"2022-12-05T04:23:36.945394Z","1.1772687","-0.2219343","9.979865"
"2022-12-05T04:23:36.964780Z","1.1778669","-0.21714866","9.9756775"
"2022-12-05T04:23:36.983845Z","1.1970096","-0.2213361","9.9756775"
"2022-12-05T04:23:37.002885Z","1.4811572","-0.18364914","9.980463"
"2022-12-05T04:23:37.020446Z","0.8021938","-0.25124636","10.012766"
"2022-12-05T04:23:37.039749Z","1.1288141","-0.22432712","9.986445"
"2022-12-05T04:23:37.059642Z","1.1629118","-0.20638095","9.987641"
"2022-12-05T04:23:37.077580Z","1.1551352","-0.2213361","9.982258"
"2022-12-05T04:23:37.096930Z","1.1365907","-0.22073789","9.991231"
"2022-12-05T04:23:37.115477Z","1.1359925","-0.22372891","9.992428"
"2022-12-05T04:23:37.135254Z","1.1425728","-0.22073789","9.984053"
"2022-12-05T04:23:37.153003Z","1.1443675","-0.21415763","9.998409"
"2022-12-05T04:23:37.171894Z","1.1419746","-0.22372891","9.992428"
"2022-12-05T04:23:37.190699Z","1.1377872","-0.21475583","10.009775"
"2022-12-05T04:23:37.209802Z","1.1437693","-0.2105684","9.981061"
"2022-12-05T04:23:37.228276Z","1.1557333","-0.21954148","9.987043"
"2022-12-05T04:23:37.247814Z","1.1353943","-0.21894327","9.996614"
"2022-12-05T04:23:37.266224Z","1.1509477","-0.2219343","10.000802"
"2022-12-05T04:23:37.286921Z","1.1437693","-0.22492532","9.999007"
