"DateTime","X","Y","Z"
"2022-12-07T09:13:03.310646Z","0.35294133","1.5266209","9.8632145"
"2022-12-07T09:13:03.310945Z","0.3595216","1.4584254","9.849456"
"2022-12-07T09:13:03.311019Z","0.41754755","1.4087744","9.732806"
"2022-12-07T09:13:03.311062Z","0.37986058","1.4895321","9.953544"
"2022-12-07T09:13:03.311109Z","0.3714857","1.4554343","9.8937235"
"2022-12-07T09:13:03.371395Z","0.45762733","1.4482559","9.737592"
"2022-12-07T09:13:03.371623Z","0.43070808","1.4291133","9.915258"
"2022-12-07T09:13:03.372468Z","0.37208393","1.5349957","9.924232"
"2022-12-07T09:13:03.458917Z","0.45762733","1.5762719","9.768699"
"2022-12-07T09:13:03.459152Z","0.43848476","1.6462619","9.795618"
"2022-12-07T09:13:03.459362Z","0.43429732","1.7946169","9.753145"
"2022-12-07T09:13:03.459706Z","0.37746778","1.8717855","9.812367"
"2022-12-07T09:13:03.459218Z","0.4325027","1.7359928","9.753145"
"2022-12-07T09:13:03.532521Z","0.42652065","1.8185452","9.7501545"
"2022-12-07T09:13:03.532720Z","0.3906283","1.8693926","9.681958"
"2022-12-07T09:13:03.533207Z","0.40378883","1.7946169","9.713663"
"2022-12-07T09:13:03.610508Z","0.35593235","1.7988044","9.815358"
"2022-12-07T09:13:03.610742Z","0.42771706","1.7778672","9.696914"
"2022-12-07T09:13:03.611842Z","0.3930211","1.7467605","9.629316"
"2022-12-07T09:13:03.612196Z","0.37806597","1.68694","9.658628"
"2022-12-07T09:13:03.612859Z","0.39900318","1.6360924","9.746565"
"2022-12-07T09:13:03.693492Z","0.36370903","1.6588243","9.665807"
"2022-12-07T09:13:03.693913Z","0.35413775","1.7407784","9.702297"
"2022-12-07T09:13:03.694612Z","0.48454657","1.7635103","9.58804"
"2022-12-07T09:13:03.694940Z","0.3595216","1.9028922","9.7196455"
"2022-12-07T09:13:03.783070Z","0.41994038","1.80359","9.626924"
"2022-12-07T09:13:03.783205Z","0.36430725","1.9154545","9.80818"
"2022-12-07T09:13:03.785101Z","0.4319045","1.8634106","9.775877"
"2022-12-07T09:13:03.785224Z","0.4749753","1.762912","9.591031"
"2022-12-07T09:13:03.785344Z","0.33260235","1.7030915","9.937392"
"2022-12-07T09:13:03.852123Z","0.401396","1.625923","9.760324"
"2022-12-07T09:13:03.852382Z","0.39840496","1.5571294","9.850055"
"2022-12-07T09:13:03.852520Z","0.46301118","1.3561323","9.79143"
"2022-12-07T09:13:03.934229Z","0.42951167","1.3579268","9.905687"
"2022-12-07T09:13:03.934725Z","0.3900301","1.5972091","9.695718"
"2022-12-07T09:13:03.935284Z","0.4235296","1.6019948","9.692128"
"2022-12-07T09:13:03.935956Z","0.4438686","1.5044873","9.742975"
"2022-12-07T09:13:03.936587Z","0.4031906","1.500898","9.76152"
"2022-12-07T09:13:04.011585Z","0.40917268","1.5672989","9.747761"
"2022-12-07T09:13:04.012111Z","0.38464624","1.6917256","9.802796"
"2022-12-07T09:13:04.012424Z","0.39601216","1.777269","9.799805"
"2022-12-07T09:13:04.013107Z","0.36909288","1.7934206","9.715458"
"2022-12-07T09:13:04.105794Z","0.36789647","1.7336","9.716655"
"2022-12-07T09:13:04.105956Z","0.35473597","1.719243","9.822537"
"2022-12-07T09:13:04.106117Z","0.41156548","1.6917256","9.74477"
"2022-12-07T09:13:04.106227Z","0.37627137","1.6845472","9.784252"
"2022-12-07T09:13:04.105654Z","0.39840496","1.7282162","9.752547"
"2022-12-07T09:13:04.173363Z","0.39541394","1.6713866","9.811171"
"2022-12-07T09:13:04.173986Z","0.43669012","1.6414764","9.778868"
"2022-12-07T09:13:04.174506Z","0.42711884","1.5906289","9.842278"
"2022-12-07T09:13:04.258495Z","0.41635114","1.6366907","9.73819"
"2022-12-07T09:13:04.258916Z","0.45224348","1.6115661","9.734002"
"2022-12-07T09:13:04.259574Z","0.3481557","1.6977077","9.926026"
"2022-12-07T09:13:04.260293Z","0.4636094","1.6438692","9.774082"
"2022-12-07T09:13:04.260506Z","0.4660022","1.6522441","9.70469"
"2022-12-07T09:13:04.333774Z","0.3900301","1.7186449","9.893126"
"2022-12-07T09:13:04.334233Z","0.3912265","1.6713866","9.731011"
"2022-12-07T09:13:04.334610Z","0.45942193","1.6654046","9.649655"
"2022-12-07T09:13:04.354705Z","0.41575295","1.6325033","9.827921"
"2022-12-07T09:13:04.354816Z","0.4139583","1.6031911","9.731609"
"2022-12-07T09:13:04.450609Z","0.4456632","1.5990037","9.598808"
"2022-12-07T09:13:04.451030Z","0.4354937","1.6007984","9.619147"
"2022-12-07T09:13:04.451307Z","0.42951167","1.5678971","9.615558"
"2022-12-07T09:13:04.451421Z","0.40737805","1.5834504","9.755538"
"2022-12-07T09:13:04.450824Z","0.34516466","1.5984055","9.9038925"
"2022-12-07T09:13:04.493657Z","0.39661035","1.6307086","9.78485"
"2022-12-07T09:13:04.493714Z","0.4109673","1.5559329","9.580862"
"2022-12-07T09:13:04.581661Z","0.37447673","1.5846468","9.803394"
"2022-12-07T09:13:04.581974Z","0.45882374","1.5349957","9.763314"
"2022-12-07T09:13:04.582071Z","0.40378883","1.5870396","9.775279"
"2022-12-07T09:13:04.582221Z","0.40438703","1.5343975","9.7704935"
"2022-12-07T09:13:04.582388Z","0.4229314","1.5463617","9.847662"
"2022-12-07T09:13:04.653011Z","0.40079778","1.5517455","9.844072"
